# KCA UNIVERSITY SCHOOL OF TECHNOLOGY TIMETABLE (JANUARY – APRIL 2026)

*Prepared by: Charles B. Malungu, Timetable Coordinator – School of Technology*  
*Approved by: Dr. Paul Abuonji (CoD SD & IS), Dr. Simon Mwendia (Dean, School of Technology)*  
*Date: December 21–22, 2025*

---

## 1. Bachelor of Science in Software Development (BSD) - Full-Time Mode

### 1.1 BSD Year 1 Trimester 1 (FT 1.1)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 0800-1100 HRS | LAB       | TC 0-5/0-6   | STU 1103  | COMPUTER APPLICATIONS                    |
| Monday    | 1400-1700 HRS | PHYSICAL  | LT 1-1       | MAT 1102  | DISCRETE MATHEMATICS                     |
| Tuesday   | 0800-1100 HRS | LAB       | TC 0-1/0-2   | CUU 1102  | FUNDAMENTALS OF COMPUTER SYSTEMS         |
| Thursday  | 1100-1400 HRS | VIRTUAL   | ZOOM         | CUU 1103  | COMMUNICATION SKILLS                     |
| Thursday  | 1400-1800 HRS | PHYSICAL  | TC 3-1       | STU 1102  | COMPUTING MATHEMATICS                    |
| Thursday  | 1500-1900 HRS | LAB       | TC 0-5/0-6   | CSN 1101  | WEB TECHNOLOGIES AND INTERNET APPLICATIONS |
| Friday    | 0800-1200 HRS | PHYSICAL  | TC 1-5       | ISS 1104  | COMPUTER ORGANIZATION & ARCHITECTURE     |
| Friday    | 1400-1700 HRS | VIRTUAL   | ZOOM         | STU 1101  | OPERATING SYSTEMS                        |

### 1.2 BSD Year 1 Trimester 2 (FT 1.2)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | CUU 1201  | HEALTH AWARENESS & LIFE SKILLS           |
| Monday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | STU 1203  | SYSTEMS ANALYSIS AND DESIGN              |
| Tuesday   | 0800-1100 HRS | PHYSICAL  | TC 2-8       | STA 1203  | PROBABILITY AND STATISTICS I             |
| Tuesday   | 1400-1700 HRS | PHYSICAL  | TC 3-3       | DSA 1201  | COMPUTATIONAL THINKING THEORY            |
| Tuesday   | 1500-1900 HRS | LAB       | TC 0-5/0-6   | STU 1202  | WEB DESIGN AND DEVELOPMENT               |
| Wednesday | 1100-1400 HRS | LAB       | TC 0-5/0-6   | STU 1204  | PRINCIPLES OF DATABASE SYSTEMS           |
| Friday    | 0700-1100 HRS | LAB       | TC 0-5/0-6   | STU 1201  | INTRODUCTION TO PROGRAMMING              |
| Friday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | CUU 1202  | FOUNDATIONS OF CRITICAL AND CREATIVE THINKING |

### 1.3 BSD Year 1 Trimester 3 (FT 1.3)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | STU 2102  | COMPUTING RESEARCH SKILLS AND DESIGN     |
| Monday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | CUU 2103  | ETHICS AND LEADERSHIP                    |
| Monday    | 1400-1700 HRS | VIRTUAL   | ZOOM         | STU 2103  | NETWORKING ESSENTIALS                    |
| Tuesday   | 1500-1900 HRS | LAB       | TC 0-3       | STU 2101  | DATABASE SYSTEMS DESIGN AND DEVELOPMENT  |
| Wednesday | 1400-1700 HRS | VIRTUAL   | ZOOM         | ISS 2101  | MANAGEMENT INFORMATION SYSTEMS           |
| Thursday  | 0700-1100 HRS | LAB       | DA LAB       | CPP 2101  | ASSEMBLY LANGUAGE PROGRAMMING            |
| Thursday  | 1100-1400 HRS | VIRTUAL   | ZOOM         | SEN 2101  | SOFTWARE ENGINEERING PRINCIPLES          |
| Thursday  | 1400-1700 HRS | VIRTUAL   | ZOOM         | CUU 2102  | INFORMATION LITERACY AND ACADEMIC WRITING |

### 1.4 BSD Year 2 Trimester 1 (FT 2.1)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 1100-1400 HRS | PHYSICAL  | TC 3-1       | FIN 2105  | FINANCIAL ACCOUNTING AND MANAGEMENT      |
| Tuesday   | 0800-1100 HRS | VIRTUAL   | ZOOM         | SEN 2201  | HUMAN-COMPUTER INTERACTION               |
| Tuesday   | 1100-1400 HRS | VIRTUAL   | ZOOM         | CPP 2203  | ELECTRONIC BUSINESS SYSTEMS              |
| Wednesday | 1100-1400 HRS | VIRTUAL   | ZOOM         | SEN 2203  | SYSTEMS DEVELOPMENT METHODOLOGY          |
| Wednesday | 1400-1800 HRS | LAB       | TC 0-1/0-2   | STU 2201  | DATA STRUCTURES AND ALGORITHMS           |
| Thursday  | 1400-1700 HRS | VIRTUAL   | ZOOM         | CUU 2201  | ENTREPRENEURSHIP PRINCIPLES AND PRACTICE |
| Friday    | 0700-1100 HRS | LAB       | TC 2-3-2     | CPP 2202  | APPLICATION PROGRAMMING WITH VB.NET      |
| Friday    | 1400-1700 HRS | LAB       | TC 0-1/0-2   | CPP 2201  | OBJECT ORIENTED PROGRAMMING WITH C++     |

### 1.5 BSD Year 2 Trimester 2 (FT 2.2)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | SEN 3101  | COMPUTING PROJECT MANAGEMENT             |
| Tuesday   | 0700-1100 HRS | LAB       | TC 2-3-2     | CPP 3102  | CLOUD APPLICATION DEVELOPMENT            |
| Tuesday   | 1400-1700 HRS | VIRTUAL   | ZOOM         | DSA 3105  | NETWORK SCIENCE THEORY                   |
| Thursday  | 0700-1100 HRS | LAB       | TC 0-1/0-2   | CPP 3101  | OBJECT ORIENTED PROGRAMMING WITH JAVA    |
| Thursday  | 1100-1500 HRS | LAB       | TC 0-1/0-2   | STU 3102  | MOBILE APPLICATIONS DEVELOPMENT          |
| Friday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | ISS 3102  | EXPERT SYSTEMS                           |
| Wednesday | 1100-1400 HRS | VIRTUAL   | ZOOM         | CSN 2202  | INFORMATION SYSTEMS SECURITY AND CRYPTOGRAPHY |

### 1.6 BSD Year 2 Trimester 3 (FT 2.3)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | SEN 3101  | COMPUTING PROJECT MANAGEMENT             |
| Tuesday   | 0700-1100 HRS | LAB       | DA LAB       | CPP 3202  | ADVANCED JAVA PROGRAMMING                |
| Wednesday | 1100-1500 HRS | PHYSICAL  | AMPHITHEATRE | MAT 3201  | LINEAR PROGRAMMING                       |
| Wednesday | 1500-1900 HRS | LAB       | TC 2-3-1     | CPP 3204  | NETWORK PROGRAMMING                      |
| Thursday  | 1500-1900 HRS | PHYSICAL  | TC 1-5       | CPU 3203  | MOBILE GAMING PROGRAMMING                |
| Friday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | ISS 4104  | DISTRIBUTED SYSTEMS                      |
| Friday    | 0800-1100 HRS | VIRTUAL   | ZOOM         | MKT 1201  | PRINCIPLES OF MARKETING                  |
| Friday    | 1400-1800 HRS | VIRTUAL   | ZOOM         | ISS 3102  | EXPERT SYSTEMS                           |

### 1.7 BSD Year 3 Trimester 1 (FT 3.1)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 0700-1100 HRS | LAB       | DA LAB       | CPP 4103  | ARTIFICIAL INTELLIGENCE PROGRAMMING      |
| Monday    | 1400-1800 HRS | LAB       | TC 0-3       | DSA 1101  | PRINCIPLES OF DATA SCIENCE               |
| Tuesday   | 0800-1200 HRS | VIRTUAL   | ZOOM         | CPP 4102  | MULTIMEDIA PROGRAMMING                   |
| Wednesday | 0800-1100 HRS | VIRTUAL   | ZOOM         | SEN 4101  | SOFTWARE TESTING TOOLS AND TECHNIQUES    |
| Wednesday | 1400-1800 HRS | VIRTUAL   | ZOOM         | STU 1202  | WEB DESIGN AND DEVELOPMENT               |
| Thursday  | 1400-1800 HRS | VIRTUAL   | ZOOM         | DBS 4101  | ADVANCED DATABASES                       |
| Friday    | 1400-1700 HRS | VIRTUAL   | ZOOM         | CSN 4206  | INFORMATION SYSTEM AUDIT                 |
| Saturday  | 1200-1500 HRS | VIRTUAL   | ZOOM         | CSN 4206  | INFORMATION SYSTEM AUDIT                 |

### 1.8 BSD Year 3 Trimester 2 (FT 3.2)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
| Monday    | 0700-1100 HRS | PHYSICAL  | TC 3-8       | ISS 4201  | EMBEDDED SYSTEMS                         |
| Wednesday | 0800-1100 HRS | VIRTUAL   | ZOOM         | ISS 4102  | GEOGRAPHICAL INFORMATION SYSTEMS         |
| Wednesday | 1100-1500 HRS | LAB       | TC 0-7/0-8   | CPP 4202  | ADVANCED APPLICATION PROGRAMMING         |
| Thursday  | 0800-1100 HRS | VIRTUAL   | ZOOM         | DSA 3202  | AMBIENT INTELLIGENCE                     |
| Thursday  | 1100-1500 HRS | LAB       | TC 1-8       | DSA 3101  | MACHINE LEARNING                         |
| Thursday  | 1730-2030 HRS | VIRTUAL   | ZOOM         | DSA 3202  | AMBIENT INTELLIGENCE                     |
| Friday    | 1100-1400 HRS | VIRTUAL   | ZOOM         | SEN 4201  | ADVANCED SOFTWARE ENGINEERING            |
| Friday    | 1500-1900 HRS | LAB       | TC 2-3-1     | DSA 4202  | PROGRAMMING FOR DATA SCIENCE             |

---

## 2. Bachelor of Science in Information Technology (BIT) - Full-Time Mode

### 2.1 BIT Year 1 Trimester 1 (FT 1.1)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                     |
|-----------|---------------|-----------|--------------|-----------|-------------------------------|
| Monday    | 0800-1100 HRS | LAB       | TC 0-7/0-8   | STU 1103  | COMPUTER APPLICATIONS         |
| Monday    | 1400-1700 HRS | PHYSICAL  | LT 1-1       | MAT 1102  | DISCRETE MATHEMATICS          |
| Tuesday   | 1100-1400 HRS | LAB       | TC 0-1/0-2   | CUU 1102  | FUNDAMENTALS OF COMPUTER SYSTEMS |
| Wednesday | 1400-1700 HRS | PHYSICAL  | TC 3-4       | STU 1102  | COMPUTING MATHEMATICS         |
| Thursday  | 1100-1400 HRS | VIRTUAL   | ZOOM         | CUU 1103  | COMMUNICATION SKILLS          |
| Friday    | 1400-1700 HRS | VIRTUAL   | ZOOM         | STU 1101  | OPERATING SYSTEMS             |

### 2.2 BIT Year 1 Trimester 2 (FT 1.2)

| Day       | Time          | Room Type | Venue        | Unit Code | Unit Name                                |
|-----------|---------------|-----------|--------------|-----------|------------------------------------------|
